Date_Execution,Input shape,NB_IMAGES,Learning Rate,Batch Size,Epochs,Training IoU,Validation IoU,Test IoU,Training MAE,Validation MAE,Test MAE,Training Loss,Validation Loss,Test Loss,Test Seg Loss,Test Landmarks Loss
17/04/2026 12:03:41,"(128, 128)",661,0.001,32,40,96.35,97.38,96.9,0.0349,0.031,0.0381,0.0837,0.0604,0.0801,0.0506,0.0029
17/04/2026 13:40:19,"(128, 128)",657,0.001,32,40,97.88,98.06,97.83,0.031,0.0288,0.0345,0.0534,0.048,0.0538,0.0348,0.0019
28/04/2026 10:57:25,"(128, 128)",1764,0.001,32,40,97.46,97.63,97.2,0.0231,0.0204,0.0231,0.0498,0.0448,0.0524,0.0435,0.0009
28/04/2026 15:08:08,"(128, 128)",1764,0.001,32,40,97.72,97.93,97.39,0.0236,0.0191,0.0219,0.0439,0.0421,0.0471,0.0389,0.0008
28/04/2026 16:08:06,"(128, 128)",1764,0.001,32,40,93.81,93.48,92.69,0.0568,0.0592,0.0585,0.1512,0.1582,0.1728,0.1128,0.006
28/04/2026 16:22:39,"(128, 128)",1764,0.001,32,40,97.8,97.81,97.54,0.0227,0.0185,0.0219,0.0418,0.0407,0.0449,0.0367,0.0008
29/04/2026 11:07:52,"(128, 128)",1764,0.001,32,40,96.91,96.86,96.65,0.0256,0.0208,0.0225,0.0615,0.0593,0.062,0.0517,0.001
