Date_Execution,Input shape,NB_IMAGES,Learning Rate Resnet,Learning Rate Unet,Batch Size,Epochs Resnet,Epochs Unet,Training IoU,Validation IoU,Test IoU,Training MAE,Validation MAE,Test MAE,Training Loss,Validation Loss,Test Loss,Test Seg Loss,Test Landmarks Loss
29/04/2026 11:07:56,"(128, 128)",1764,0.001,0.0001,32,10,30,98.41,98.57,97.85,0.1304,0.0332,0.0345,0.3467,0.0419,0.0526,0.0323,0.002
04/05/2026 09:51:13,"(128, 128)",1764,0.001,0.0001,32,10,30,98.69,98.79,97.99,0.0534,0.0364,0.043,0.0785,0.0535,0.0786,0.0309,0.0048
04/05/2026 10:09:56,"(128, 128)",1764,0.001,0.0001,32,10,30,98.87,99.04,97.82,0.0163,0.011,0.0213,0.022,0.0184,0.0408,0.0334,0.0007
04/05/2026 10:26:30,"(128, 128)",1764,0.001,0.0001,32,10,30,98.85,98.97,97.65,0.0167,0.0135,0.0191,0.0225,0.0198,0.042,0.0359,0.0006
